country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,19200000000,21300000000,22100000000,25400000000,27800000000,32300000000,34200000000,41700000000,45700000000,49900000000,58400000000,61600000000,64000000000,65600000000,68100000000,71100000000
Albania,8940000000,6390000000,5930000000,6860000000,7690000000,9030000000,10100000000,9120000000,10300000000,11700000000,12800000000,14100000000,14900000000,16000000000,17100000000,18300000000,20400000000,22300000000,24400000000,25400000000,27800000000,29700000000,30300000000,31100000000,32800000000,33000000000,33800000000,34800000000
Algeria,1.66E+11,1.67E+11,1.74E+11,1.76E+11,1.77E+11,1.86E+11,1.96E+11,2.04E+11,2.17E+11,2.27E+11,2.4E+11,2.58E+11,2.74E+11,3E+11,3.2E+11,3.47E+11,3.68E+11,4E+11,4.21E+11,4.3E+11,4.54E+11,4.73E+11,4.94E+11,5.15E+11,5.43E+11,5.67E+11,6.04E+11,6.22E+11
Angola,24100000000,28200000000,11400000000,11800000000,9570000000,22100000000,23000000000,28500000000,29100000000,27600000000,30500000000,32900000000,40000000000,43100000000,48600000000,59500000000,72600000000,94100000000,1.05E+11,1.17E+11,1.22E+11,1.3E+11,1.39E+11,1.53E+11,1.65E+11,1.74E+11,1.75E+11,1.8E+11
Antigua and Barbuda,636000000,696000000,726000000,796000000,865000000,843000000,920000000,996000000,1060000000,1110000000,1190000000,1180000000,1190000000,1290000000,1400000000,1550000000,1800000000,2020000000,2050000000,1820000000,1730000000,1720000000,1800000000,1860000000,1980000000,2100000000,2230000000,2340000000
Argentina,2.19E+11,2.58E+11,2.99E+11,3.26E+11,3.52E+11,3.48E+11,3.73E+11,4.1E+11,4.29E+11,4.2E+11,4.26E+11,4.16E+11,3.59E+11,4.03E+11,4.54E+11,5.2E+11,5.83E+11,6.57E+11,6.98E+11,6.57E+11,7.3E+11,7.95E+11,8.05E+11,8.39E+11,8.34E+11,8.52E+11,8.45E+11,8.97E+11
Armenia,8240000000,7800000000,3880000000,3980000000,4670000000,5090000000,5650000000,6120000000,6460000000,6770000000,7310000000,8220000000,9500000000,11000000000,12500000000,14800000000,17400000000,20400000000,22400000000,19000000000,19800000000,20900000000,22900000000,24600000000,25500000000,26500000000,26400000000,29500000000
Australia,2.85E+11,2.95E+11,3.06E+11,3.29E+11,3.5E+11,3.64E+11,3.88E+11,4.1E+11,4.38E+11,4.63E+11,4.89E+11,5.16E+11,5.49E+11,5.74E+11,6.12E+11,6.39E+11,6.82E+11,7.27E+11,7.62E+11,8.42E+11,8.32E+11,8.98E+11,9.42E+11,1.03E+12,1.07E+12,1.08E+12,1.09E+12,1.16E+12
Austria,1.5E+11,1.6E+11,1.67E+11,1.72E+11,1.8E+11,1.87E+11,1.95E+11,2.02E+11,2.11E+11,2.17E+11,2.33E+11,2.36E+11,2.51E+11,2.6E+11,2.75E+11,2.87E+11,3.12E+11,3.26E+11,3.47E+11,3.41E+11,3.55E+11,3.74E+11,3.92E+11,4.07E+11,4.18E+11,4.28E+11,4.41E+11,4.62E+11
Azerbaijan,,,,25200000000,20600000000,18500000000,18800000000,20600000000,22900000000,24800000000,26900000000,30100000000,33700000000,38300000000,42400000000,52700000000,72700000000,90600000000,1.09E+11,1.23E+11,1.33E+11,1.35E+11,1.42E+11,1.54E+11,1.63E+11,1.65E+11,1.57E+11,1.64E+11
