country,Year,Value
Afghanistan,1800,-6
Afghanistan,1801,-6
Afghanistan,1802,-6
Afghanistan,1803,-6
Afghanistan,1804,-6
Afghanistan,1805,-6
Afghanistan,1806,-6
Afghanistan,1807,-6
Afghanistan,1808,-6
Afghanistan,1809,-6
Afghanistan,1810,-6
Afghanistan,1811,-6
Afghanistan,1812,-6
Afghanistan,1813,-6
Afghanistan,1814,-6
Afghanistan,1815,-6
Afghanistan,1816,-6
Afghanistan,1817,-6
Afghanistan,1818,-6
Afghanistan,1819,-6
Afghanistan,1820,-6
Afghanistan,1821,-6
Afghanistan,1822,-6
Afghanistan,1823,-6
Afghanistan,1824,-6
Afghanistan,1825,-6
Afghanistan,1826,-6
Afghanistan,1827,-6
Afghanistan,1828,-6
Afghanistan,1829,-6
Afghanistan,1830,-6
Afghanistan,1831,-6
Afghanistan,1832,-6
Afghanistan,1833,-6
Afghanistan,1834,-6
Afghanistan,1835,-6
Afghanistan,1836,-6
Afghanistan,1837,-6
Afghanistan,1838,-6
Afghanistan,1839,-6
Afghanistan,1840,-6
Afghanistan,1841,-6
Afghanistan,1842,-6
Afghanistan,1843,-6
Afghanistan,1844,-6
Afghanistan,1845,-6
Afghanistan,1846,-6
Afghanistan,1847,-6
Afghanistan,1848,-6
Afghanistan,1849,-6
Afghanistan,1850,-6
Afghanistan,1851,-6
Afghanistan,1852,-6
Afghanistan,1853,-6
Afghanistan,1854,-6
Afghanistan,1855,-6
Afghanistan,1856,-6
Afghanistan,1857,-6
Afghanistan,1858,-6
Afghanistan,1859,-6
Afghanistan,1860,-6
Afghanistan,1861,-6
Afghanistan,1862,-6
Afghanistan,1863,-6
Afghanistan,1864,-6
Afghanistan,1865,-6
Afghanistan,1866,-6
Afghanistan,1867,-6
Afghanistan,1868,-6
Afghanistan,1869,-6
Afghanistan,1870,-6
Afghanistan,1871,-6
Afghanistan,1872,-6
Afghanistan,1873,-6
Afghanistan,1874,-6
Afghanistan,1875,-6
Afghanistan,1876,-6
Afghanistan,1877,-6
Afghanistan,1878,-6
Afghanistan,1879,-6
Afghanistan,1880,-6
Afghanistan,1881,-6
Afghanistan,1882,-6
Afghanistan,1883,-6
Afghanistan,1884,-6
Afghanistan,1885,-6
Afghanistan,1886,-6
Afghanistan,1887,-6
Afghanistan,1888,-6
Afghanistan,1889,-6
Afghanistan,1890,-6
Afghanistan,1891,-6
Afghanistan,1892,-6
Afghanistan,1893,-6
Afghanistan,1894,-6
Afghanistan,1895,-6
Afghanistan,1896,-6
Afghanistan,1897,-6
Afghanistan,1898,-6
Afghanistan,1899,-6
Afghanistan,1900,-6
Afghanistan,1901,-6
Afghanistan,1902,-6
Afghanistan,1903,-6
Afghanistan,1904,-6
Afghanistan,1905,-6
Afghanistan,1906,-6
Afghanistan,1907,-6
Afghanistan,1908,-6
Afghanistan,1909,-6
Afghanistan,1910,-6
Afghanistan,1911,-6
Afghanistan,1912,-6
Afghanistan,1913,-6
Afghanistan,1914,-6
Afghanistan,1915,-6
Afghanistan,1916,-6
Afghanistan,1917,-6
Afghanistan,1918,-6
Afghanistan,1919,-6
Afghanistan,1920,-6
Afghanistan,1921,-6
Afghanistan,1922,-6
Afghanistan,1923,-6
Afghanistan,1924,-6
Afghanistan,1925,-6
Afghanistan,1926,-6
Afghanistan,1927,-6
Afghanistan,1928,-6
Afghanistan,1929,-6
Afghanistan,1930,-6
Afghanistan,1931,-6
Afghanistan,1932,-6
Afghanistan,1933,-6
Afghanistan,1934,-6
Afghanistan,1935,-8
Afghanistan,1936,-8
Afghanistan,1937,-8
Afghanistan,1938,-8
Afghanistan,1939,-8
Afghanistan,1940,-8
Afghanistan,1941,-8
Afghanistan,1942,-8
Afghanistan,1943,-8
Afghanistan,1944,-8
Afghanistan,1945,-10
Afghanistan,1946,-10
Afghanistan,1947,-10
Afghanistan,1948,-10
Afghanistan,1949,-10
Afghanistan,1950,-10
Afghanistan,1951,-10
Afghanistan,1952,-10
Afghanistan,1953,-10
Afghanistan,1954,-10
Afghanistan,1955,-10
Afghanistan,1956,-10
Afghanistan,1957,-10
Afghanistan,1958,-10
Afghanistan,1959,-10
Afghanistan,1960,-10
Afghanistan,1961,-10
Afghanistan,1962,-10
Afghanistan,1963,-10
Afghanistan,1964,-7
Afghanistan,1965,-7
Afghanistan,1966,-7
Afghanistan,1967,-7
Afghanistan,1968,-7
Afghanistan,1969,-7
Afghanistan,1970,-7
Afghanistan,1971,-7
Afghanistan,1972,-7
Afghanistan,1973,-7
Afghanistan,1974,-7
Afghanistan,1975,-7
Afghanistan,1976,-7
Afghanistan,1977,-7
Afghanistan,1978,0
Afghanistan,1979,-10
Afghanistan,1980,-10
Afghanistan,1981,-10
Afghanistan,1982,-10
Afghanistan,1983,-10
Afghanistan,1984,-10
Afghanistan,1985,-10
Afghanistan,1986,-10
Afghanistan,1987,-10
Afghanistan,1988,-10
Afghanistan,1989,-8
Afghanistan,1990,-8
Afghanistan,1991,-8
Afghanistan,1992,0
Afghanistan,1993,0
Afghanistan,1994,0
Afghanistan,1995,0
Afghanistan,1996,-7
Afghanistan,1997,-7
Afghanistan,1998,-7
Afghanistan,1999,-7
Afghanistan,2000,-7
Afghanistan,2001,
Afghanistan,2002,
Afghanistan,2003,
Afghanistan,2004,
Afghanistan,2005,
Afghanistan,2006,
Afghanistan,2007,
Afghanistan,2008,
Afghanistan,2009,
Afghanistan,2010,
Afghanistan,2011,
Albania,1800,
Albania,1801,
Albania,1802,
Albania,1803,
Albania,1804,
Albania,1805,
Albania,1806,
Albania,1807,
Albania,1808,
Albania,1809,
Albania,1810,
Albania,1811,
Albania,1812,
Albania,1813,
Albania,1814,
Albania,1815,
Albania,1816,
Albania,1817,
Albania,1818,
Albania,1819,
Albania,1820,
Albania,1821,
Albania,1822,
Albania,1823,
Albania,1824,
Albania,1825,
Albania,1826,
Albania,1827,
Albania,1828,
Albania,1829,
Albania,1830,
Albania,1831,
Albania,1832,
Albania,1833,
